#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation
173,6,24,30,16,23,0.04730866585604058,64,0.09615746001432096,2.2527670124430714,0.18930041164527706
174,2,3,43,2,21,0.30598435353692593,4,0.002001249798969037,0.9659096733532815,0.5761316882239448
175,2,38,40,31,7,0.4466499585060288,16,0.5737976414214134,2.4669526457295987,0.11522633750988132
176,1,34,24,4,95,0.7031111699154121,4,0.031080821738690638,1.5197952642362305,0.34979423770198115
177,6,39,3,4,36,0.6410280037691118,64,0.000209083769055575,1.676949192957623,0.40329218180581866
178,3,15,39,9,64,0.5600313547298601,4,0.0010139254075588154,0.4124861336294025,0.8271604955441667
179,6,37,14,21,66,0.16555082943179866,8,0.11430311291144786,2.415721834441762,0.1481481482094698
180,4,15,29,8,22,0.14858376659438816,4,0.0017030650292528444,0.3902540820738906,0.8189300399258304
181,6,25,34,4,70,0.1126739697121824,32,0.7653919388230148,13.730229652467578,0.1481481482094698
182,6,38,50,34,93,0.20633092503989497,4,5.429186177618943,14.0618772742189,0.12757201658354866
183,3,35,11,49,44,0.05234573831603261,4,0.41554553347188755,2.478372306980714,0.09876543283462524
184,1,21,16,13,14,0.3988120572659296,32,4.213321743847289,14.393525445412216,0.1069958848349842
185,6,38,14,22,66,0.2768895139471663,16,0.002406475150015424,0.30550304272905787,0.8765432115935494
186,1,15,32,12,51,0.8666838550707475,8,0.17508270317357252,2.4210514796614158,0.12757201658354866
187,1,41,33,24,54,0.5199778924345314,32,6.234401888627864,13.730229652467578,0.1481481482094698
188,4,19,40,50,91,0.4075309819052322,4,9.660174799522645,14.0618772742189,0.12757201658354866
189,5,35,9,37,88,0.3443519537160434,16,0.0001259215613694151,1.4582468187858049,0.6337448552312184
190,6,45,9,5,87,0.3128704222081571,16,0.000320262069365765,0.41667268943394165,0.8353909452756246
191,1,29,23,22,69,0.40788690223649493,4,0.07996554525892346,1.952677143454061,0.23045267391597293
192,1,29,31,22,46,0.17762444465727098,4,0.41554553347188755,2.4821777971683705,0.1069958848349842
193,1,6,46,8,93,0.36598699098011206,32,0.015211855179861048,0.7787436008943942,0.6954732502929468
194,2,30,34,38,85,0.09422892629795875,8,2.3954073587208793,13.730229652467578,0.1481481482094698
195,2,33,2,25,42,0.5769144772353663,8,0.03254711605531848,1.2228351522375036,0.5226337451012537
196,3,42,9,22,96,0.7418102873819507,64,1.4593657991557576,13.730229652467578,0.1481481482094698
197,1,48,31,33,72,0.18155833023832865,64,0.0001699144172034626,0.6514457879978933,0.7983539082385875
198,2,46,22,13,67,0.5323901296081697,16,0.0006619433458774394,0.31670357277731837,0.8683127589186523
199,5,14,35,34,19,0.034238854535034016,8,0.0009140310748756232,0.3349094434407513,0.8395061716130732
200,4,33,29,4,97,0.35149370502023863,32,0.0016835508029612023,0.5667690654350407,0.7530864202436597
201,2,6,8,23,23,0.08959394604037445,16,0.00017589165903277327,0.6628851900375429,0.7983539111820268
202,3,25,35,20,8,0.6045370525442156,8,0.00012447871461879063,0.8438947340588511,0.613168725751555
203,2,38,50,20,59,0.8758874599046241,32,3.9318287557057703,13.730229652467578,0.1481481482094698
204,4,15,2,48,33,0.4586312691004895,64,1.9243509752303323,14.260866286823289,0.11522633750988132
205,6,26,30,33,27,0.1525656588133266,4,2.1346630333242453,14.393525445412216,0.1069958848349842
206,6,48,11,21,99,0.12482353267955067,16,0.9418331534647951,14.0618772742189,0.12757201658354866
207,1,11,38,30,19,0.20745947296749875,8,0.0004126820845702952,0.6021949551968908,0.7078189322487317
208,3,22,45,20,13,0.08538334654047243,32,0.0001906690840512252,0.6870885113629784,0.7366255148938654
209,1,48,2,8,49,0.5470060350661003,8,1.056875971184805,14.393525445412216,0.1069958848349842
210,4,6,12,23,76,0.5906112232714114,32,0.005148867450137497,0.7396541397267409,0.6419753079061155
211,4,35,25,29,68,0.15896395135762872,32,0.4939621743878321,2.4392857355345425,0.11522633750988132
212,6,27,11,22,31,0.10772229154307365,16,0.12108297502320395,1.9706165604140042,0.22222222295808203
213,6,27,9,32,55,0.48714192164066,32,1.2136237983442417,13.730229652467578,0.1481481482094698
214,5,31,28,26,69,0.8894924220149723,64,0.00022927693128656486,2.48864494233465,0.12757201658354866
215,1,50,23,18,36,0.6688121826345647,16,0.0014831025143361043,0.5543472229698558,0.7818930058322325
216,4,28,45,23,37,0.1263598547810588,64,0.00016796748720926532,0.7639646167127193,0.7983539082385875
217,3,11,3,47,7,0.28748278429091617,64,8.316104153230961,15.454799228244358,0.0411522633744856
218,4,6,29,35,17,0.16001452491731855,32,0.00013650078065460138,1.2294019708417572,0.5144032931622163
219,1,2,21,7,45,0.4439865913937365,4,0.3703126675869927,2.4926150060975503,0.1069958848349842
220,1,40,22,29,85,0.7018989967085351,32,0.7393819919175866,13.730229652467578,0.1481481482094698
221,1,39,25,9,37,0.6257530668108493,8,1.2708787092020595,14.260866286823289,0.11522633750988132
222,5,12,17,35,74,0.17710610688610456,4,5.817880074344935,14.260866286823289,0.11522633750988132
223,5,26,15,25,100,0.4758523121027225,64,8.033501977124734,14.52618443524396,0.09876543212942626
224,3,28,48,2,30,0.7475840294488484,16,0.00022148552337263592,0.6687212966597129,0.6872427976180496
225,4,38,25,27,89,0.8668668304179745,64,0.12248646137509307,1.6173816786872015,0.27160493900746474
226,4,23,28,13,30,0.6122614660828615,32,0.4252346334528682,2.40671219452909,0.12757201658354866
227,1,11,27,16,40,0.20607183602398255,16,5.620173848083188,14.393525445412216,0.1069958848349842
228,1,10,36,34,92,0.7767127115920658,16,0.0089526571259964,0.8506394817260067,0.6502057618074456
229,5,21,4,46,42,0.03874922736895782,8,0.08089243486805939,2.3319658585536627,0.27983539106914534
230,2,40,43,45,55,0.05714688063119274,16,0.39227767589277196,2.4287130901352367,0.1481481482094698
231,1,4,11,9,93,0.1722573149445922,32,0.0004032789982193705,0.9569884411101479,0.6008230474750691
232,1,16,27,29,60,0.4315012588479568,8,5.008407989848212,14.260866286823289,0.11522633750988132
233,6,4,30,45,98,0.6576723450978061,32,0.053422932995383525,1.9220162198376753,0.2139917685661787
234,4,33,37,32,36,0.8771225300625419,16,0.0013840160965731315,2.494995452739574,0.12757201658354866
235,1,3,41,48,69,0.32664487059347336,8,0.016874356777273756,1.2824101708062883,0.39506172864034833
236,1,2,47,28,99,0.45438699764288937,4,0.00014968392930772556,1.2358451031853632,0.46090534954895207
237,3,35,23,21,19,0.7888522786491656,32,0.0015710723892474504,0.8502380453019476,0.5925925918567327
238,3,12,45,18,8,0.3485269461692642,4,3.5444556739704356,14.260866286823289,0.11522633750988132
239,3,33,50,40,35,0.19735624879967542,32,4.894289896114532,15.18948065989302,0.05761316872427984
240,1,40,12,28,15,0.15299409380848278,8,0.006335804992658254,0.38130427755936674,0.8312757218816152
241,5,34,11,12,20,0.7461796102596935,8,0.023033628731421313,1.5124103154665158,0.30864197432749557
242,6,48,5,10,8,0.49099011402258125,32,0.00017793043899185773,2.0267367863360746,0.3333333329654034
243,6,13,20,19,92,0.17808517502783763,16,0.04242556430717777,1.6480508537449463,0.44444444591616405
244,4,5,21,7,18,0.6617839772317516,4,0.4996877453854884,2.5002724368876392,0.1069958848349842
245,3,27,39,32,36,0.6095249491271542,16,0.0019332422875550453,0.45331035431765726,0.7736625519309024
246,4,12,21,33,86,0.4630183737002747,8,0.0001622595287078087,0.78971844825725,0.6872427988444827
247,2,12,37,24,63,0.18615557373888492,8,0.02005867779508234,0.5389711127114394,0.794238681901139
248,2,36,5,22,7,0.3200441557867925,16,0.04291732378422158,0.8915180586002491,0.5967078181941814
249,6,19,42,13,95,0.6340421987773552,16,0.03610418597173337,0.9941603565902867,0.5308641955685713
250,5,2,16,4,14,0.5460520158612189,8,0.0007689283720758313,2.175308636677118,0.34979423892841416
251,3,44,13,35,63,0.5449347926886011,64,0.0036438589837635444,0.7421021287333328,0.6995884778568283
252,1,45,23,49,67,0.18294050689031816,4,0.021248453524988827,0.7638135025040113,0.6625514408197913
253,5,9,23,14,97,0.579280298510501,32,0.5354620899273608,15.388469405625584,0.04526748974259498
254,4,44,19,39,82,0.569972794355967,64,0.013095350204826677,1.400200777583652,0.48971193219408576
255,2,43,5,39,49,0.8883161673592915,8,0.0019332422875550453,1.1993718672191165,0.5185185182732319
256,5,25,45,11,44,0.2885471845173738,32,0.0021945290862033138,0.5844519963725604,0.8024691345760361
257,3,38,30,47,62,0.013974446781962547,16,0.08768856094587427,2.459716805705318,0.25514403194066426
258,1,26,31,44,57,0.2787314355631647,4,0.6742622241778342,14.393525445412216,0.1069958848349842
259,1,2,37,38,15,0.48711092732183103,4,0.2179406984302956,2.424112674140145,0.12757201658354866
260,3,11,2,4,5,0.628509421259095,16,0.3833395101766601,2.409587254740083,0.1481481482094698
261,5,48,14,37,68,0.06906237244073316,4,0.012505385872903913,0.4803224139743381,0.8189300428692696
262,3,23,38,6,29,0.21086137487496348,32,0.6899837121430018,2.444864461451401,0.1481481482094698
263,1,21,39,16,24,0.6132187194566704,16,0.0818300681586739,1.2471384437977042,0.43209876506416883
264,3,12,46,18,42,0.7115849384440878,32,0.0019332422875550453,0.8369942086714285,0.6172839515984304
265,2,23,10,7,34,0.5878410338425492,8,0.13744790926775366,2.0994888156529807,0.2345679007439947
266,1,20,16,9,46,0.6155966540051566,4,0.0029612254379880344,0.5962895246935479,0.748971193906211
267,4,3,4,17,23,0.18993250012264498,64,1.1456687286348726,2.4364503342428323,0.12757201658354866
268,2,2,31,29,55,0.3113201105027682,4,3.7116718194757667,14.0618772742189,0.12757201658354866
269,1,46,13,15,58,0.10163937749802543,64,0.000872852662384838,0.4310296185222673,0.8518518535688581
270,3,37,18,5,30,0.05844698907240458,16,7.583677914997191,13.730229652467578,0.1481481482094698
271,5,38,40,32,87,0.4341705423521705,64,0.2033800305846982,2.7353878757100047,0.12757201658354866
272,5,14,31,48,84,0.15999664685542872,8,4.361537789208006,15.18948065989302,0.05761316872427984
